date,Discharge
1991-01,1.7293
1991-02,1.2465
1991-03,3.2096
1991-04,11.2207
1991-05,5.5610
1991-06,10.2613
1991-07,3.4900
1991-08,5.9687
1991-09,3.4237
1991-10,2.0978
1991-11,1.5654
1991-12,2.3119
1992-01,1.8881
1992-02,5.1286
1992-03,4.1468
1992-04,9.4817
1992-05,7.0432
1992-06,7.5993
1992-07,5.8426
1992-08,5.3752
1992-09,5.9910
1992-10,3.5855
1992-11,2.4647
1992-12,2.1335
1993-01,2.0068
1993-02,3.9082
1993-03,7.3406
1993-04,6.5153
1993-05,9.0997
1993-06,5.1950
1993-07,3.3816
1993-08,2.8184
1993-09,2.6493
1993-10,2.0029
1993-11,2.9585
1993-12,3.8535
1994-01,6.9684
1994-02,5.7757
1994-03,5.5097
1994-04,9.1727
1994-05,11.5503
1994-06,10.4053
1994-07,10.5239
1994-08,5.3645
1994-09,5.0033
1994-10,3.0310
1994-11,2.6980
1994-12,2.4829
1995-01,1.5906
1995-02,1.3754
1995-03,2.1410
1995-04,4.7127
1995-05,7.2345
1995-06,9.2693
1995-07,7.7668
1995-08,7.5281
1995-09,3.4340
1995-10,1.9561
1995-11,1.6757
1995-12,1.5100
1996-01,1.5710
1996-02,1.2038
1996-03,6.9284
1996-04,6.0697
1996-05,10.5019
1996-06,5.7317
1996-07,6.7313
1996-08,4.3194
1996-09,3.7370
1996-10,4.6090
1996-11,2.2093
1996-12,2.6684
1997-01,1.6235
1997-02,2.6996
1997-03,4.0626
1997-04,2.7217
1997-05,8.4484
1997-06,8.2913
1997-07,7.2948
1997-08,4.8139
1997-09,3.2273
1997-10,2.3158
1997-11,2.1463
1997-12,1.5971
1998-01,1.4381
1998-02,1.1989
1998-03,1.6652
1998-04,3.4877
1998-05,1.7516
1998-06,1.4243
1998-07,1.1697
1998-08,1.5319
1998-09,2.5720
1998-10,1.4119
1998-11,1.2253
1998-12,1.0600
1999-01,1.6281
1999-02,1.0350
1999-03,0.8610
1999-04,1.3313
1999-05,4.8319
1999-06,6.5817
1999-07,4.3071
1999-08,2.2290
1999-09,1.5563
1999-10,1.7403
1999-11,1.1453
1999-12,1.6681
2000-01,4.6661
2000-02,8.7138
2000-03,13.5890
2000-04,6.2653
2000-05,9.8935
2000-06,6.2547
2000-07,10.7348
2000-08,8.2774
2000-09,6.5833
2000-10,3.1923
2000-11,2.0050
2000-12,1.1368
2001-01,2.2123
2001-02,1.5011
2001-03,2.0213
2001-04,1.5020
2001-05,1.6206
2001-06,1.2790
2001-07,0.6929
2001-08,0.5887
2001-09,0.2958
2001-10,0.7356
2001-11,1.0232
2001-12,0.5416
2002-01,2.3597
2002-02,2.2764
2002-03,5.5766
2002-04,8.5830
2002-05,9.4581
2002-06,12.1638
