date,Discharge
2002-07,9.0906
2002-08,4.9234
2002-09,3.3483
2002-10,3.5692
2002-11,1.7124
2002-12,3.2816
2003-01,1.4741
2003-02,1.5332
2003-03,2.1026
2003-04,6.1392
2003-05,10.6014
2003-06,9.1122
2003-07,6.9350
2003-08,5.3249
2003-09,11.2463
2003-10,4.7571
2003-11,3.5127
2003-12,3.1074
2004-01,1.8200
2004-02,1.3200
2004-03,0.9784
2004-04,5.8492
2004-05,10.6839
2004-06,8.9667
2004-07,14.2000
2004-08,9.7239
2004-09,9.4887
2004-10,5.2761
2004-11,3.3023
2004-12,3.5152
2005-01,2.1619
2005-02,2.8493
2005-03,2.5426
2005-04,10.1570
2005-05,6.6555
2005-06,6.5847
2005-07,8.9445
2005-08,4.4603
2005-09,2.8753
2005-10,2.8223
2005-11,2.8523
2005-12,2.2129
2006-01,1.6648
2006-02,2.4882
2006-03,1.8752
2006-04,2.6777
2006-05,2.7374
2006-06,3.0020
2006-07,8.4842
2006-08,4.4635
2006-09,13.0843
2006-10,2.8065
2006-11,1.9673
2006-12,1.6435
2007-01,2.4013
2007-02,3.0311
2007-03,2.8387
2007-04,8.9993
2007-05,7.8716
2007-06,4.8457
2007-07,6.2161
2007-08,3.2665
2007-09,2.6107
2007-10,3.9174
2007-11,2.3280
2007-12,1.5297
2008-01,2.4666
2008-02,7.5062
2008-03,7.3768
2008-04,12.2403
2008-05,7.3452
2008-06,6.5670
2008-07,6.9974
2008-08,11.1194
2008-09,11.3950
2008-10,5.4042
2008-11,2.9857
2008-12,1.9948
2009-01,2.4535
2009-02,1.8360
2009-03,2.2623
2009-04,3.8920
2009-05,8.1981
2009-06,5.6430
2009-07,4.5132
2009-08,2.5542
2009-09,3.5167
2009-10,2.7365
2009-11,1.2467
2009-12,1.2217
2010-01,2.9043
2010-02,2.4907
2010-03,7.5906
2010-04,7.4270
2010-05,7.5761
2010-06,4.8337
2010-07,4.8326
2010-08,3.4735
2010-09,3.3547
2010-10,5.0148
2010-11,1.9830
2010-12,1.4500
2011-01,1.0475
2011-02,1.3811
2011-03,1.6057
2011-04,5.3363
2011-05,7.6168
2011-06,4.1913
2011-07,4.4732
2011-08,7.2197
2011-09,3.9903
2011-10,2.3142
2011-11,1.8413
2011-12,2.0887
2012-01,1.5994
2012-02,2.2121
2012-03,5.2687
2012-04,7.1350
2012-05,3.5519
2012-06,3.7220
2012-07,5.7235
2012-08,3.6103
2012-09,2.6740
2012-10,4.2123
2012-11,3.3197
2012-12,5.2445
2013-01,2.5510
2013-02,17.9764
2013-03,10.2416
2013-04,5.4557
2013-05,20.6352
2013-06,8.1160
2013-07,9.9661
2013-08,5.6006
2013-09,5.2550
2013-10,5.0784
2013-11,4.0233
2013-12,2.5294
2014-01,2.1839
2014-02,3.5711
2014-03,3.3468
2014-04,2.2460
2014-05,3.1697
2014-06,4.9387
2014-07,7.0806
2014-08,7.0213
2014-09,2.5597
2014-10,1.9368
2014-11,1.9010
2014-12,1.0285
2015-01,0.6975
2015-02,0.8632
2015-03,0.8201
2015-04,7.6062
2015-05,9.7945
2015-06,9.1753
2015-07,3.5794
2015-08,2.4342
2015-09,1.6997
2015-10,1.3228
2015-11,0.7120
2015-12,0.8680
2016-01,0.8716
2016-02,0.6849
2016-03,1.0929
2016-04,1.9374
2016-05,2.6332
2016-06,3.3737
2016-07,2.4042
2016-08,2.3710
2016-09,1.0222
2016-10,2.2790
2016-11,1.5346
2016-12,0.6735
2017-01,0.6913
2017-02,0.4747
2017-03,0.9181
2017-04,0.4687
2017-05,0.6909
2017-06,0.4564
2017-07,1.1240
2017-08,1.1842
2017-09,1.6983
2017-10,1.0439
2017-11,0.9730
2017-12,1.2394
2018-01,3.3131
2018-02,5.5407
2018-03,10.6539
2018-04,6.6053
2018-05,10.2706
2018-06,4.1933
2018-07,5.4345
2018-08,6.7916
2018-09,2.9940
2018-10,4.0129
2018-11,2.4200
2018-12,1.7255
2019-01,4.6452
2019-02,10.9718
2019-03,5.7765
2019-04,13.7420
2019-05,15.0955
2019-06,8.5880
2019-07,7.3687
2019-08,9.2748
2019-09,5.6627
2019-10,4.0026
2019-11,2.3673
2019-12,2.0965
2020-01,2.0555
2020-02,3.0717
2020-03,2.4923
2020-04,5.3597
2020-05,16.7484
2020-06,14.2210
2020-07,7.3058
2020-08,4.8952
2020-09,3.8253
2020-10,2.7726
2020-11,1.5447
2020-12,0.9383
2021-01,2.1697
2021-02,0.9467
2021-03,1.1111
2021-04,3.2531
2021-05,4.1061
2021-06,5.5247
2021-07,2.4423
2021-08,2.1132
2021-09,1.5002
2021-10,0.8076
2021-11,0.7904
2021-12,0.8361
2022-01,0.5514
2022-02,0.8638
2022-03,2.0088
2022-04,0.9325
2022-05,1.0212
2022-06,2.4398
2022-07,1.1489
2022-08,0.9746
2022-09,1.0539
2022-10,1.8911
2022-11,1.0213
2022-12,0.8672
2023-01,0.6258
2023-02,0.9329
2023-03,1.0210
2023-04,3.2726
2023-05,2.8435
2023-06,1.8733
2023-07,3.0887
2023-08,9.1690
2023-09,3.0000
2023-10,2.7974
2023-11,2.1763
2023-12,0.9052
