date,category
2016-01-01,3
2016-02-01,3
2016-03-01,3
2016-04-01,4
2016-05-01,3
2016-06-01,5
2016-07-01,4
2016-08-01,3
2016-09-01,3
2016-10-01,3
2016-11-01,3
2016-12-01,2
2017-01-01,3
2017-02-01,3
2017-03-01,3
2017-04-01,2
2017-05-01,2
2017-06-01,2
2017-07-01,3
2017-08-01,3
2017-09-01,3
2017-10-01,3
2017-11-01,2
2017-12-01,3
2018-01-01,3
2018-02-01,3
2018-03-01,4
2018-04-01,5
2018-05-01,4
2018-06-01,3
2018-07-01,1
2018-08-01,2
2018-09-01,2
2018-10-01,1
2018-11-01,1
2018-12-01,3
2019-01-01,1
2019-02-01,2
2019-03-01,2
2019-04-01,1
2019-05-01,1
2019-06-01,3
2019-07-01,2
2019-08-01,2
2019-09-01,1
2019-10-01,3
2019-11-01,3
2019-12-01,3
2020-01-01,3
2020-02-01,3
2020-03-01,3
2020-04-01,3
2020-05-01,3
2020-06-01,3
2020-07-01,2
2020-08-01,3
2020-09-01,3
2020-10-01,4
2020-11-01,3
2020-12-01,5
2021-01-01,5
2021-02-01,5
2021-03-01,5
2021-04-01,3
2021-05-01,3
2021-06-01,3
2021-07-01,3
2021-08-01,3
2021-09-01,3
