relative_month,min,mean,max,10%,25%,75%,90%
1,0.4747,3.3649,17.9764,0.8636,1.2230,3.7565,7.9651
2,0.6964,3.7130,14.1090,0.9255,1.4620,4.8593,8.2025
3,0.6205,4.4391,11.2246,1.2570,2.4894,5.8830,9.2241
4,0.6381,5.2356,13.5772,1.6331,2.7321,6.6069,8.9965
5,0.6018,5.4569,12.4850,1.7837,3.1981,7.1050,8.6577
6,0.6888,5.5380,12.0652,1.6511,3.7757,7.0639,8.9821
7,0.7596,5.4238,11.1417,1.5929,3.8793,7.2454,8.6988
8,0.8769,5.2666,10.4058,1.6432,4.1353,6.7911,8.8002
9,0.8955,5.0101,9.8139,1.6377,3.9417,6.4925,8.2705
10,0.9032,4.7136,9.2348,1.5887,3.7016,6.1011,7.6812
11,0.9338,4.4586,8.6252,1.5340,3.4683,5.7836,7.1159
12,1.1321,4.2649,8.0885,1.5101,3.3008,5.4506,6.7149
