sourceId,observedProperty,beginDate,endDate,featureId,ObservationId,uom,interpolationType,aggregationDuration
argentina-ina,"Discharge, stream",2020-08-06T03:00:00Z,2020-08-31T03:00:00Z,00D3297FBC6A70359AC9C78EC0A56AE2EBBD8B6C,68DA7DC5CB959B851B4461E8CA6A875790B8F919,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2024-01-16T03:00:00Z,2025-07-18T16:50:22Z,083988DC8C2E39D6E0C82B296A857F6A088B8028,8B8B4DAC4D5C624216FCA6AAE71E31B79C5BA08B,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2025-07-18T16:50:22Z,0DF4C4284AA14E0A545C0F855B4F6FF558693CEE,75CBA16F5396CBBB837FB1CD82451A34F0C0DB11,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",1970-01-01T03:00:00Z,2017-09-08T03:00:00Z,23137FB463C0902450418E9E2F0D38C719419AA9,D3A7219CC7AB0722447AF8848359585C37A19E3B,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2023-02-28T03:00:00Z,255B2448BEBEAF022A54211BB36BAE67020214E8,2EF3CD1062B09CA7A5252AD7B11AAF0A1E34A68F,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2001-05-01T03:00:00Z,2022-08-31T03:00:00Z,2F12488193F66939384E07C2FD757FDAF2781D52,3B88801E7E26746B1FD376063418A7760B494064,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2023-06-29T03:00:00Z,2025-07-18T16:50:22Z,329BB00817E03FB6C1E86BF7625BA824692C9A95,A008043E7E6E0319D45CC6F9082A0F90322B18BA,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2006-01-01T03:00:00Z,2023-07-04T03:00:00Z,329E5E2914B19DB23520D64DFA541CC83DE345F2,FDA9671CC65CD651649CB085C589497D6B079BCB,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2024-01-16T03:00:00Z,2025-07-18T16:50:22Z,33D8EF13796FA55AD42D54A54EF43D6DEB4CB529,5CF34935BE958C58C2CD7A25E854BCA8446EA3D2,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2015-07-21T03:00:00Z,2022-02-14T03:00:00Z,3437B9EF80504B6A2526BF065B78AB9DAE4BD857,7C4059020EB36BE82BE7757CF8229E02AB735E1C,metros cúbicos por segundo,Average in succeeding interval,P1D
argentina-ina,"Discharge, stream",2021-11-01T03:00:00Z,2025-07-18T16:50:22Z,3A2D53454064685F479B74B6C5B3EAA289DE5E00,DA759B3978C1E2604161946D3257B388B00E8AFB,metros cúbicos por segundo,Average in succeeding interval,P1D
