min,mean,max,month,5%,10%,25%,75%,90%,95%
0.5514,2.1222,6.9684,1,0.6297,0.6958,1.5419,2.4170,3.6861,4.6649
0.4747,3.2912,17.9764,2,0.6956,0.8636,1.2023,3.6722,7.8443,10.8363
0.8201,3.9690,13.5890,3,0.8644,0.9615,1.6473,5.6365,8.3329,10.6291
0.4687,5.8120,13.7420,4,0.9564,1.4542,3.0936,7.8992,10.4548,12.1792
0.6909,7.4800,20.6352,5,1.0572,1.7149,3.4373,10.0067,12.5430,16.6492
0.4564,6.2068,14.2210,6,1.2877,1.7476,4.0505,8.7016,10.3017,12.0583
0.6929,5.8572,14.2000,7,1.1255,1.1639,3.4575,7.4881,10.1223,10.7222
0.5887,4.8723,11.1194,8,0.9872,1.4346,2.5182,6.8605,9.1987,9.6969
0.2958,4.1312,13.0843,9,1.0241,1.3752,2.5683,5.0788,9.9808,11.3861
0.7356,2.9531,5.4042,10,0.8218,1.2447,1.9503,4.0057,5.0326,5.2643
0.7120,2.0495,4.0233,11,0.8014,1.0078,1.4482,2.5347,3.3072,3.5011
0.5416,1.8776,5.2445,12,0.6833,0.8585,1.0505,2.3632,3.3470,3.8332
