min,mean,max,month,5%,10%,25%,75%,90%,95%
0.0644,1.6614,9.8055,1,0.0840,0.0969,0.1378,2.1889,5.7374,7.9574
0.0582,2.2417,12.9831,2,0.0799,0.0939,0.1396,2.5392,10.4655,12.8037
0.0704,2.2992,11.2432,3,0.0922,0.0972,0.1335,4.6628,8.6941,9.6127
0.0867,2.5781,16.4554,4,0.1010,0.1171,0.1439,4.7522,8.7449,11.5596
0.1173,2.7912,20.3491,5,0.1268,0.1457,0.1651,4.9958,8.0889,15.7618
0.1241,2.0580,10.8351,6,0.1685,0.1934,0.2929,3.6023,6.9770,7.7156
0.1406,1.7070,15.1411,7,0.1467,0.2068,0.3743,1.7751,4.3567,7.1516
0.1189,1.0473,4.8991,8,0.1270,0.1831,0.3198,1.3902,2.5431,4.4417
0.1326,1.1309,6.2881,9,0.1346,0.1750,0.2988,1.5048,3.1424,4.7109
0.1235,1.1364,4.9848,10,0.1323,0.1685,0.2639,1.9360,3.6125,3.8765
0.1022,0.9395,6.7111,11,0.1110,0.1372,0.1859,0.8632,3.0159,4.0989
0.0803,0.9212,4.7970,12,0.0929,0.1284,0.1904,1.4723,3.1717,3.8094
