relative_month,min,mean,max,10%,25%,75%,90%
1,0.4747,3.3649,17.9764,0.8636,1.2230,3.7565,7.9651
2,0.8201,4.0611,13.5890,0.9554,1.7597,5.6865,8.5980
3,0.4687,5.8913,13.7420,1.4371,2.9608,8.1434,10.5612
4,0.6909,7.6249,20.6352,1.7018,3.8013,10.1010,12.8975
5,0.4564,6.3422,14.2210,2.0539,4.1922,8.7963,10.3161
6,0.6929,5.9438,14.2000,1.1618,3.5302,7.5876,10.1781
7,0.5887,4.7380,11.1194,1.3998,2.4882,6.4213,8.6564
8,0.2958,4.1665,13.0843,1.3306,2.5652,5.1418,10.1566
9,0.7356,2.9580,5.4042,1.2168,1.9455,4.0083,5.0390
10,0.7120,2.0455,4.0233,1.0030,1.3763,2.5930,3.3089
11,0.5416,1.9080,5.2445,0.8554,1.0945,2.4060,3.3704
12,0.5514,2.1344,6.9684,0.6952,1.5177,2.4300,3.8193
