min,mean,max,month,5%,13%,28%,72%,87%,95%
0.0254,0.2430,1.6357,1,0.0505,0.0881,0.1145,0.2261,0.3915,0.7046
0.0039,0.3022,1.6969,2,0.0308,0.0534,0.1178,0.2485,0.6344,1.3167
0.0486,0.4805,3.4231,3,0.0670,0.0897,0.1128,0.3231,1.1142,2.4173
0.0816,1.6819,11.1730,4,0.0826,0.1264,0.1553,2.4509,4.2812,6.8887
0.1305,2.8006,9.6444,5,0.2197,0.2814,0.4929,4.0805,6.3025,9.4986
0.3308,4.2494,12.4308,6,0.3826,0.7756,2.3014,6.2032,7.3925,10.8988
0.3187,5.0721,14.6576,7,0.5140,1.1335,3.6344,6.5372,8.4839,14.5162
0.5569,3.4013,8.8088,8,0.9091,1.4632,1.6852,4.4226,6.2341,7.6699
0.2820,2.4823,8.7663,9,0.3271,0.6337,1.3415,3.3569,4.1316,5.5787
0.1528,1.6160,4.8588,10,0.1782,0.3630,0.5478,2.4462,3.1897,4.2341
0.1077,0.9249,4.2008,11,0.1309,0.1903,0.2769,0.9633,2.3106,3.0202
0.0416,0.4388,3.6373,12,0.0968,0.1310,0.2079,0.3821,0.5723,1.3864
