min,mean,max,month,5%,13%,28%,72%,87%,95%
0.5514,2.1222,6.9684,1,0.6297,0.8222,1.5847,2.3724,3.0204,4.6649
0.4747,3.2912,17.9764,2,0.6956,0.9133,1.2335,3.2235,6.2672,10.8363
0.8201,3.9690,13.5890,3,0.8644,1.0089,1.8113,5.5300,7.4375,10.6291
0.4687,5.8120,13.7420,4,0.9564,1.8137,3.2667,7.4815,9.6735,12.1792
0.6909,7.4800,20.6352,5,1.0572,2.3828,3.9377,9.8246,10.9299,16.6492
0.4564,6.2068,14.2210,6,1.2877,2.2789,4.1927,8.3815,9.5511,12.0583
0.6929,5.8572,14.2000,7,1.1255,2.0536,3.5522,7.3249,9.3393,10.7222
0.5887,4.8723,11.1194,8,0.9872,1.9481,2.7381,6.2189,8.5306,9.6969
0.2958,4.1312,13.0843,9,1.0241,1.5404,2.5989,4.2983,7.4084,11.3861
0.7356,2.9531,5.4042,10,0.8218,1.3866,1.9887,3.9433,4.8303,5.2643
0.7120,2.0495,4.0233,11,0.8014,1.0227,1.5416,2.4336,3.0756,3.5011
0.5416,1.8776,5.2445,12,0.6833,0.8678,1.1134,2.2430,3.1569,3.8332
