relative_month,min,mean,max,13%,28%,72%,87%
1,0.7120,2.0455,4.0233,1.0224,1.5388,2.4461,3.1168
2,0.5416,1.9080,5.2445,0.8677,1.1721,2.2707,3.1795
3,0.5514,2.1344,6.9684,0.7995,1.5792,2.3840,3.0736
4,0.4747,3.3551,17.9764,0.9043,1.2521,3.3633,6.4921
5,0.8201,3.9927,13.5890,1.0034,1.7525,5.5487,7.4653
6,0.4687,5.6430,13.7420,1.7571,3.2612,7.3055,9.3006
7,0.6909,7.5400,20.6352,2.2682,3.7825,9.8524,11.0426
8,0.4564,6.0801,14.2210,2.2053,4.1922,8.2184,9.2142
9,0.6929,5.9312,14.2000,1.8931,3.8821,7.3425,9.4531
10,0.5887,4.8380,11.1194,1.8726,2.6641,6.2962,8.6465
11,0.2958,4.1533,13.0843,1.5331,2.5881,4.5819,7.7861
12,0.7356,2.9799,5.4042,1.3750,1.9756,3.9672,4.8638
